ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,72,83291,624,Self-Employed,High School,48,34525,36,Divorced,1,Rent,224,0.241140978575294,3,2,0.2360057908975591,0,Other,0,19,29,2138,937,113035,20275,6940.916666666667,0.9420380662965508,5,92760,0.20752500000000002,0.22326871814422924,1324.3707554407438,0.22307871276955402,0,49.0
2018-01-02,47,43038,605,Employed,Doctorate,28,15514,60,Married,0,Rent,401,0.1288841917225543,1,2,0.3312657208929914,0,Home,0,17,6,1147,1228,83836,10426,3586.5,0.41707987729930895,4,73410,0.21801399999999999,0.1973118271807344,408.70906689082517,0.22576580702379065,0,51.0
2018-01-03,50,34393,599,Employed,Doctorate,26,27747,36,Married,0,Own,152,0.2729293515828503,3,1,0.12114406228085454,0,Home,0,18,20,2870,3255,59265,7091,2866.0833333333335,0.5429585528339197,11,52174,0.213247,0.20132531831856382,1033.0526163148045,0.4134745848218432,0,49.0
2018-01-04,46,49227,592,Self-Employed,Associate,26,37197,96,Single,3,Mortgage,288,0.08634202006154008,3,1,0.2469995952546064,0,Auto,0,21,4,1531,12966,77500,15989,4102.25,0.8302129559560372,5,61511,0.276197,0.2642920657408435,934.6876525591716,0.29805293498913316,0,56.0
2018-01-05,47,29777,600,Employed,High School,24,34761,24,Divorced,0,Rent,277,0.48220539887735986,3,0,0.3114161341575426,0,Auto,0,25,1,2675,1986,61233,35301,2481.4166666666665,0.9382927238253814,5,25932,0.209761,0.23261149703171288,1825.0585107288157,0.8471203320934207,0,58.0
2018-01-06,36,71548,614,Employed,High School,13,14983,60,Single,2,Rent,411,0.10597695099758814,4,0,0.0757392137599305,0,Home,0,28,24,2329,455,67070,9351,5962.333333333333,0.6512942198960255,2,57719,0.21298299999999998,0.21749983931479738,411.68712666601687,0.13798073349348972,0,44.0
2018-01-07,29,87369,588,Employed,Bachelor,6,16502,48,Married,2,Rent,441,0.15874419391593841,3,2,0.0755133779994427,0,Debt Consolidation,0,23,12,2877,1130,43814,161864,7280.75,0.7073361691706053,4,8154,0.217502,0.2096591240979049,510.69339090267965,0.13071364775643712,1,38.400000000000006
2018-01-08,47,44227,607,Employed,High School,22,12583,96,Married,2,Mortgage,504,0.6543412563192212,6,2,0.38004131373436617,0,Auto,0,26,15,5582,547,19497,56426,3685.5833333333335,0.5845027155390969,13,7245,0.244083,0.27973308505376066,329.3777340950937,0.22611827185070488,0,54.0
2018-01-09,18,129187,464,Employed,Master,0,21112,96,Widowed,0,Mortgage,742,0.33315479167389955,5,0,0.4270366055866877,0,Auto,0,21,4,2635,860,16905,8298,10765.583333333334,0.9795084168499616,8,8607,0.324112,0.2781436434810739,550.3420977413865,0.12004385249983852,1,45.6
2018-01-10,48,70514,620,Employed,High School,28,26045,60,Married,3,Other,215,0.44851907582437917,5,3,0.3592819801620673,0,Home,0,24,11,2482,811,142080,44965,5876.166666666667,0.911821575930853,6,97115,0.221045,0.2165102307140101,714.176335782217,0.1581262732136399,0,50.0
