ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,19,23657,594,Employed,High School,0,24313,60,Single,2,Mortgage,763,0.256242919162647,5,1,0.3990876862888728,0,Education,1,32,5,3502,1079,212869,60030,1971.4166666666667,0.5404083542594951,4,152839,0.232313,0.23500057514823966,692.398116410778,0.7382498793984587,0,60.0
2018-01-02,45,47514,530,Self-Employed,Master,22,17755,12,Married,0,Mortgage,535,0.14457444628140975,4,1,0.21156172733709241,0,Debt Consolidation,1,26,19,1536,1600,340521,27400,3959.5,0.8128859561170261,3,313121,0.217755,0.2128848377363482,1655.694294180707,0.5532754878597568,0,55.0
2018-01-03,79,40660,638,Employed,High School,53,9298,120,Married,1,Mortgage,559,0.16749652079098276,4,1,0.34660607294177664,0,Home,0,25,4,25539,1961,313739,10728,3388.3333333333335,0.6781369576379066,5,303011,0.24529800000000002,0.19623840000000004,177.37629962415392,0.21732699447835335,0,48.0
2018-01-04,19,32413,593,Employed,Master,0,30292,72,Single,1,Other,274,0.20163704802804766,1,0,0.38992807402939134,0,Other,0,21,10,2290,1190,9509,62607,2701.0833333333335,0.7352703823651019,5,9665,0.248792,0.26284086451736743,840.0106026195231,0.4124310378994316,0,55.0
2018-01-05,52,69042,569,Employed,Bachelor,28,29977,12,Single,1,Own,458,0.44669819798011784,3,3,0.2323374075721473,0,Debt Consolidation,0,27,15,4009,2208,62778,65983,5753.5,0.8531340943531166,3,3695,0.21047700000000003,0.20965755172515863,2790.7789365759586,0.5646613255541773,0,53.0
2018-01-06,46,80087,643,Employed,High School,26,9741,24,Single,1,Mortgage,521,0.10504346588762602,3,2,0.3806345404397697,0,Education,0,26,3,6177,1722,169550,54354,6673.916666666667,0.8617766944068262,5,115196,0.163241,0.16731487427716993,480.36125882571235,0.15004101921546004,1,38.400000000000006
2018-01-07,37,17344,582,Employed,Associate,15,14910,48,Married,2,Mortgage,598,0.3046179540613067,2,3,0.24281444793017562,0,Home,0,19,7,2914,573,30830,3861,1445.3333333333333,0.7023741979966761,1,26969,0.21891000000000002,0.23538801843326806,482.2996410556803,0.7474397885532843,0,55.0
2018-01-08,42,19584,545,Employed,High School,22,60895,48,Widowed,2,Mortgage,453,0.018758830861896583,0,0,0.5267327924573026,0,Auto,0,29,4,16361,1395,247153,273493,1632.0,0.7862815342387072,8,2363,0.283395,0.340074,2336.76276344025,1.7094134579903493,0,62.0
2018-01-09,40,140384,507,Employed,Bachelor,21,40155,84,Married,1,Rent,444,0.24849341348516574,3,0,0.49467162383417607,0,Auto,0,27,14,12406,343,98573,10419,11698.666666666666,0.811196998567992,3,88154,0.311655,0.2950443810127472,1134.8002826720674,0.1349555746528437,1,41.6
2018-01-10,43,36441,543,Self-Employed,Master,21,18385,48,Married,0,Mortgage,486,0.09662141308200844,4,3,0.38933377031479494,0,Home,0,29,18,5359,2385,97732,31889,3036.75,0.8128437845063371,7,65843,0.241885,0.22535196243537364,584.5942761361123,0.35254606936234867,0,55.0
