ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,60,33487,593,Employed,Doctorate,41,15329,48,Single,1,Mortgage,270,0.12408262884434326,3,1,0.24742654102404585,1,Auto,0,23,8,12132,1599,13731,6022,2790.5833333333335,0.6692745325089002,9,7709,0.21382900000000002,0.2565948,513.9201907289377,0.28091624477400934,0,65.0
2018-01-02,51,73386,544,Employed,Master,28,13915,72,Single,4,Mortgage,247,0.4406138188745923,3,0,0.50647338428015,0,Education,0,20,25,552,6047,208621,43978,6115.5,0.7449038802322853,7,164643,0.256915,0.2472959597577334,372.52528400859376,0.1013041098861244,1,44.0
2018-01-03,52,48755,602,Employed,Bachelor,29,10396,48,Widowed,1,Own,825,0.3448171498491386,1,1,0.3217833635111927,0,Home,0,33,28,6306,78,71815,91638,4062.9166666666665,0.8811227365092225,4,1976,0.204396,0.18703557912696986,309.21773848335164,0.2791634265572807,1,41.6
2018-01-04,28,16144,537,Employed,High School,7,36744,24,Single,0,Mortgage,389,0.4643569469697269,2,2,0.3302355150672517,0,Home,0,35,5,11143,228,45070,14351,1345.3333333333333,0.9236490186621651,3,30719,0.243244,0.22481971375803822,1914.9676982213564,1.7125627092824751,0,59.0
2018-01-05,55,45971,636,Employed,High School,31,53660,84,Widowed,3,Other,297,0.22872943729295703,4,4,0.29469948116012484,0,Auto,0,26,22,25443,437,25880,5777,3830.9166666666665,0.9388095976501044,6,20103,0.26066,0.2854249072552055,1482.0639064751997,0.4643963994192512,0,50.0
2018-01-06,43,32384,583,Employed,High School,18,12793,60,Married,0,Mortgage,509,0.14411092635528744,3,1,0.19641963903813645,0,Other,0,23,9,5981,123,24564,79365,2698.6666666666665,0.6592270480312868,3,3371,0.22629300000000002,0.2043492755807183,342.03958736566625,0.31535557832225775,0,51.0
2018-01-07,33,73753,541,Employed,High School,13,31975,24,Married,0,Mortgage,339,0.4116062421740328,0,1,0.19946054176816455,0,Home,0,27,5,720,2938,126144,4651,6146.083333333333,0.8027791164033948,4,121493,0.236475,0.21175794143251342,1645.8184172763404,0.32294036862657904,0,49.0
2018-01-08,29,20152,576,Employed,Master,3,7847,36,Married,2,Rent,463,0.4587042232952277,5,0,0.25669489675259544,0,Home,0,22,22,3060,458,86689,50317,1679.3333333333333,0.9128869685173306,5,36372,0.204847,0.23212577302544973,304.625285409056,0.4571012021094022,0,55.0
2018-01-09,38,115538,585,Employed,Master,15,12503,96,Married,2,Own,365,0.28730400637364095,5,2,0.052218306571641684,0,Other,1,15,28,17501,308,33155,610183,9628.166666666666,0.7646199164395989,5,7309,0.25500300000000004,0.25229025387326903,304.13251798039005,0.06949739666399524,1,44.0
2018-01-10,18,27718,619,Employed,Master,0,34644,24,Single,2,Mortgage,284,0.09686012105865223,5,0,0.4222734763196811,0,Education,0,28,14,20232,761,46013,14526,2309.8333333333335,0.6082950735522971,6,31487,0.20014400000000002,0.19133324458842635,1748.6010525814133,0.8799773660068172,0,54.0
