ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,29,15000,548,Employed,High School,3,21073,36,Divorced,2,Own,360,0.27309220414410096,2,2,0.2144206041635543,1,Debt Consolidation,0,24,16,10757,895,20136,44477,1250.0,0.6573008615569133,5,9352,0.232073,0.2589253647102523,847.8383720832645,0.9662706976666116,0,66.0
2018-01-02,35,54960,604,Employed,High School,17,27686,12,Married,2,Rent,197,0.47838384453612254,4,0,0.16032261545152443,0,Other,0,33,20,5264,1042,46590,7767,4580.0,0.9442211054891326,2,38823,0.190686,0.18022091863728007,2538.543378156256,0.597280213571235,0,48.0
2018-01-03,48,64016,660,Employed,Bachelor,25,45370,36,Married,3,Own,698,0.07993876269197434,2,1,0.34516717776600164,0,Home,0,34,27,767,334,150504,13423,5334.666666666667,0.587024660358581,4,137081,0.20037,0.20899324543406372,1706.9734991959908,0.4508198261427126,0,43.0
2018-01-04,40,84116,542,Employed,High School,18,17134,36,Married,2,Mortgage,240,0.367414622177301,10,1,0.21780498099081164,0,Home,0,18,27,1733,110,348582,48133,7009.666666666667,0.5433432809105307,7,300449,0.231134,0.26379068472770223,693.8040200614515,0.13321660850180012,1,36.0
2018-01-05,39,48696,676,Employed,Doctorate,20,14197,48,Married,3,Mortgage,376,0.3285946532106873,5,1,0.0841885985654422,0,Home,0,27,14,1138,637,64380,3186,4058.0,0.9804639325495782,2,61194,0.171197,0.18060106443536295,417.4829047114241,0.19553546197915822,1,34.4
2018-01-06,18,76927,445,Employed,Bachelor,0,17514,120,Single,2,Mortgage,229,0.48053245504805225,4,0,0.23822761926412847,0,Auto,0,24,1,10912,154,36595,61420,6410.583333333333,0.9066222574957905,10,2746,0.35001400000000005,0.3595412194534706,540.3881247930369,0.12001842652796084,0,57.0
2018-01-07,66,79247,630,Employed,Associate,42,28750,36,Single,2,Mortgage,667,0.29175936376235856,2,3,0.139531520680622,0,Education,0,18,4,3105,1090,15917,20975,6603.916666666667,0.7921549802184598,4,7366,0.19875,0.190026460030969,1053.8990381392348,0.2605876368527618,0,50.0
2018-01-08,52,30036,490,Employed,High School,30,27329,120,Widowed,2,Own,1043,0.22909940778023596,3,2,0.16531328905665488,0,Other,0,25,10,4307,4033,42729,21401,2503.0,0.8269464232467972,4,21328,0.337329,0.39181059874903246,911.6083675842452,0.7809062595222713,0,51.0
2018-01-09,35,67889,597,Employed,High School,13,47330,48,Single,1,Rent,556,0.28216386955435857,1,0,0.3703202353296766,0,Other,0,25,29,1158,2185,83365,37318,5657.416666666667,0.7414122585341336,2,46047,0.24383000000000002,0.292596,1683.8427088613005,0.39591262953255474,0,54.0
2018-01-10,35,74224,603,Employed,Bachelor,15,14795,60,Married,3,Rent,618,0.10552463435020527,5,0,0.12546283244256548,0,Education,0,25,21,5590,466,118830,63777,6185.333333333333,0.5886890171256464,5,55053,0.21829500000000002,0.20862410863421074,399.1102150789235,0.16443903024556858,1,35.2
2018-01-11,38,24695,639,Employed,Bachelor,16,8041,12,Married,0,Mortgage,459,0.5895256712677504,1,1,0.7176248322859776,0,Debt Consolidation,1,21,21,3684,1888,48696,26496,2057.9166666666665,0.7594570766372808,3,22200,0.153541,0.15569982314419106,727.9315432602875,0.5767636573850354,0,64.0
2018-01-12,42,15000,550,Employed,High School,20,10354,84,Married,0,Mortgage,405,0.5449460541213653,4,1,0.307901447570084,0,Home,1,27,16,1924,504,24099,66836,1250.0,0.6225898277466725,8,5078,0.260354,0.2791251395733919,281.6596571421932,0.5493277257137547,0,63.0
