dataset_size,layer_dims,accuracy,precision,recall,f1
10,"[5, 1]",0.9,0.0,0.0,0.0
10,"[10, 1]",0.9,0.0,0.0,0.0
10,"[50, 1]",1.0,1.0,1.0,1.0
10,"[5, 5, 1]",0.9,0.0,0.0,0.0
10,"[10, 10, 1]",0.9,0.0,0.0,0.0
10,"[50, 50, 1]",1.0,1.0,1.0,1.0
100,"[5, 1]",0.84,0.0,0.0,0.0
100,"[10, 1]",0.84,0.0,0.0,0.0
100,"[50, 1]",0.93,1.0,0.5625,0.72
100,"[5, 5, 1]",0.84,0.0,0.0,0.0
100,"[10, 10, 1]",0.84,0.0,0.0,0.0
100,"[50, 50, 1]",1.0,1.0,1.0,1.0
1000,"[5, 1]",0.963,0.9203187250996016,0.9314516129032258,0.9258517034068137
1000,"[10, 1]",0.959,0.9683257918552036,0.8629032258064516,0.9125799573560768
1000,"[50, 1]",0.972,0.9330708661417323,0.9556451612903226,0.9442231075697212
1000,"[5, 5, 1]",0.964,0.9173228346456693,0.9395161290322581,0.9282868525896415
1000,"[10, 10, 1]",0.972,0.9230769230769231,0.967741935483871,0.9448818897637796
1000,"[50, 50, 1]",1.0,1.0,1.0,1.0
,,,,,
