dataset_size,num_epochs,batch_size,learning_rate,accuracy,precision,recall,f1,tp,fp,tn,fn
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
10,20,32,0.1,0.7665,0.0,0.0,0.0,0,0,7665,2335
100,50,64,0.1,0.7725,0.9054054054054054,0.028693790149892935,0.05562474055624741,67,7,7658,2268
1000,100,32,0.1,0.7052,0.44120468060617685,0.9850107066381156,0.6094329623741389,2300,2913,4752,35
