dataset_size,layer_dims,accuracy,precision,recall,f1
10,"[5, 1]",0.7665,0.0,0.0,0.0
10,"[10, 1]",0.7665,0.0,0.0,0.0
10,"[50, 1]",0.7665,0.0,0.0,0.0
10,"[5, 5, 1]",0.7665,0.0,0.0,0.0
10,"[10, 10, 1]",0.7665,0.0,0.0,0.0
10,"[50, 50, 1]",0.7665,0.0,0.0,0.0
100,"[5, 1]",0.7665,0.0,0.0,0.0
100,"[10, 1]",0.7666,1.0,0.00042826552462526765,0.0008561643835616438
100,"[50, 1]",0.7677,0.9285714285714286,0.00556745182012848,0.011068539804171988
100,"[5, 5, 1]",0.7665,0.0,0.0,0.0
100,"[10, 10, 1]",0.7665,0.0,0.0,0.0
100,"[50, 50, 1]",0.7684,0.9523809523809523,0.008565310492505354,0.016977928692699495
1000,"[5, 1]",0.7569,0.4896507115135834,0.9725910064239829,0.6513695683350064
1000,"[10, 1]",0.8039,0.5451254826254827,0.9674518201284796,0.6973298348510573
1000,"[50, 1]",0.778,0.5128090888839385,0.9858672376873662,0.6746776084407972
1000,"[5, 5, 1]",0.7417,0.47444352844187965,0.9858672376873662,0.64060108529289
1000,"[10, 10, 1]",0.6983,0.43558745749905553,0.9875802997858673,0.6045353257307642
1000,"[50, 50, 1]",0.866,0.9054604726976365,0.47580299785867236,0.6238068500842223
