dataset_size,layer_dims,accuracy,precision,recall,f1,noise_level,model_type
10,"[5, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[10, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[50, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[5, 5, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[10, 10, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[50, 50, 1]",0.7665,0.0,0.0,0.0,0.0,NN
10,"[5, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[10, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[50, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[5, 5, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[10, 10, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[50, 50, 1]",0.7665,0.0,0.0,0.0,0.01,NN
10,"[5, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[10, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[50, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[5, 5, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[10, 10, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[50, 50, 1]",0.7665,0.0,0.0,0.0,0.05,NN
10,"[5, 1]",0.7665,0.0,0.0,0.0,0.1,NN
10,"[10, 1]",0.7665,0.0,0.0,0.0,0.1,NN
10,"[50, 1]",0.7665,0.0,0.0,0.0,0.1,NN
10,"[5, 5, 1]",0.7665,0.0,0.0,0.0,0.1,NN
10,"[10, 10, 1]",0.7666,1.0,0.00042826552462526765,0.0008561643835616438,0.1,NN
10,"[50, 50, 1]",0.7665,0.0,0.0,0.0,0.1,NN
100,"[5, 1]",0.7744,0.9647058823529412,0.03511777301927195,0.06776859504132231,0.0,NN
100,"[10, 1]",0.7721,0.9827586206896551,0.024411134903640257,0.04763894692854158,0.0,NN
100,"[50, 1]",0.781,0.967741935483871,0.06423982869379015,0.12048192771084337,0.0,NN
100,"[5, 5, 1]",0.7761,0.9210526315789473,0.044967880085653104,0.08574928542262147,0.0,NN
100,"[10, 10, 1]",0.7835,0.9086538461538461,0.08094218415417559,0.1486433346441211,0.0,NN
100,"[50, 50, 1]",0.7684,0.9523809523809523,0.008565310492505354,0.01697792869269949,0.0,NN
100,"[5, 1]",0.8352,0.8515864892528148,0.3563169164882227,0.5024154589371981,0.01,NN
100,"[10, 1]",0.772,0.9824561403508771,0.02398286937901499,0.046822742474916385,0.01,NN
100,"[50, 1]",0.7789,0.9696969696969697,0.05481798715203426,0.1037697608431293,0.01,NN
100,"[5, 5, 1]",0.7762,0.907563025210084,0.04625267665952891,0.08801955990220049,0.01,NN
100,"[10, 10, 1]",0.3197,0.24977598566308243,0.9550321199143469,0.3959868596288733,0.01,NN
100,"[50, 50, 1]",0.7685,0.9545454545454546,0.008993576017130621,0.017819261773440814,0.01,NN
100,"[5, 1]",0.8394,0.6602197802197802,0.643254817987152,0.6516268980477223,0.05,NN
100,"[10, 1]",0.7757,0.8770491803278688,0.04582441113490364,0.0870980870980871,0.05,NN
100,"[50, 1]",0.7743,0.875,0.03897216274089936,0.07462074620746208,0.05,NN
100,"[5, 5, 1]",0.7758,0.8604651162790697,0.04753747323340471,0.09009740259740259,0.05,NN
100,"[10, 10, 1]",0.3119,0.2491723681306555,0.9670235546038544,0.3962446257787137,0.05,NN
100,"[50, 50, 1]",0.7682,0.9047619047619048,0.008137044967880086,0.016129032258064516,0.05,NN
100,"[5, 1]",0.7679,0.71875,0.009850107066381156,0.019433882551753275,0.1,NN
100,"[10, 1]",0.7679,0.6944444444444444,0.010706638115631691,0.021088148460565163,0.1,NN
100,"[50, 1]",0.768,0.6666666666666666,0.01284796573875803,0.025210084033613446,0.1,NN
100,"[5, 5, 1]",0.7701,0.7195121951219512,0.025267665952890792,0.048820852296235,0.1,NN
100,"[10, 10, 1]",0.7693,0.6891891891891891,0.02184154175588865,0.04234122042341221,0.1,NN
100,"[50, 50, 1]",0.7686,0.7333333333333333,0.014132762312633832,0.02773109243697479,0.1,NN
1000,"[5, 1]",0.7586,0.4913205888815645,0.9576017130620985,0.6494336334591926,0.0,NN
1000,"[10, 1]",0.826,0.5840632947160215,0.8852248394004283,0.7037793667007151,0.0,NN
1000,"[50, 1]",0.8875,0.864897466827503,0.6141327623126338,0.7182569496619083,0.0,NN
1000,"[5, 5, 1]",0.7995,0.5390070921985816,0.9764453961456103,0.6945925361766946,0.0,NN
1000,"[10, 10, 1]",0.8716,0.6682676913224463,0.8937901498929336,0.7647489923048736,0.0,NN
1000,"[50, 50, 1]",0.866,0.9054604726976365,0.47580299785867236,0.6238068500842223,0.0,NN
1000,"[5, 1]",0.8216,0.5712070302403722,0.9464668094218416,0.7124435847840103,0.01,NN
